"author","title","link"
"Rabbi Joseph B. Soloveitchik","Toldos","https://www.yutorah.org/lectures/details?shiurid=767955"
"Rabbi Ahron Soloveichik","The Leitzanei Hador","https://www.yutorah.org/lectures/details?shiurid=772098"
"Rabbi Mordechai I. Willig","Baruch Shepatrani Meionsho Shel Zeh","https://www.yutorah.org/lectures/details?shiurid=704141"
"Rabbi Herzl Hefter","Why did Yitzchak Love Esav?","https://www.yutorah.org/lectures/details?shiurid=754483"
"Rabbi Moshe Taragin","Parshat Toldos","https://www.yutorah.org/lectures/details?shiurid=1113351"
"Rabbi Beinish Ginsburg","Toldos - Yitzchak's role as one of the Avos","https://www.yutorah.org/lectures/details?shiurid=729467"
"Rabbi Beinish Ginsburg","030 Toldos - Vayetzei-Maariv","https://www.yutorah.org/lectures/details?shiurid=729468"
"Rabbi Yosef Blau","The Qualities of Yitzchak","https://www.yutorah.org/lectures/details?shiurid=706319"
"Rabbi Meir Goldwicht","Toldos 5765","https://www.yutorah.org/lectures/details?shiurid=706388"
"Rabbi Yaakov B. Neuburger","Did the Avos Keep the Torah","https://www.yutorah.org/lectures/details?shiurid=706396"
"Rabbi Baruch Simon","Toldos 5765","https://www.yutorah.org/lectures/details?shiurid=706398"
"Rabbi Zev Reichman","Parshas Toldos Yitzchak and Yismael Keneged Chanukah","https://www.yutorah.org/lectures/details?shiurid=706436"
"Rabbi Dovid Gottlieb","Suma B'Mitzvos","https://www.yutorah.org/lectures/details?shiurid=712371"
"Rabbi Zvi Romm","Haftarat Toldot - Hashem's Love for Us","https://www.yutorah.org/lectures/details?shiurid=750060"
"Rabbi Meir Goldwicht","Parshas Toldot","https://www.yutorah.org/lectures/details?shiurid=712774"
"Rabbi Yonason Sacks","Toldos 5766","https://www.yutorah.org/lectures/details?shiurid=712782"
"Rabbi Dovid Miller","Why is Yitzchak's Blessing in the Merit of Avraham?","https://www.yutorah.org/lectures/details?shiurid=712824"
"Rabbi Amos Luban","Toldot 1: The Final Selection - Who Will be the Carrier of the Bracha?","https://www.yutorah.org/lectures/details?shiurid=890157"
"Rabbi Ally Ehrman","Chariots Of Fire","https://www.yutorah.org/lectures/details?shiurid=720376"
"Rabbi Ally Ehrman","Toldos: Finding G-d In The Mundane","https://www.yutorah.org/lectures/details?shiurid=720435"
"Rabbi Aharon Kahn","Holding Ourselves to a Higher Standard","https://www.yutorah.org/lectures/details?shiurid=720460"
"Rabbi Michoel Zylberman","Did the Avos Keep the Torah?: Parshas Toldot - Ramban al haTorah","https://www.yutorah.org/lectures/details?shiurid=721652"
"Rabbi Ally Ehrman","Yaakov, Eisav, Deception And .... Self-Deception","https://www.yutorah.org/lectures/details?shiurid=720451"
"Rabbi Avraham Shulman","Toldos: Defining Truth - When is it a Mitzvah to Lie?","https://www.yutorah.org/lectures/details?shiurid=721555"
"Rabbi Michael Taubes","Motzei Shabbos Shiur Going to A Tzaddik for a Bracha","https://www.yutorah.org/lectures/details?shiurid=720702"
"Rabbi Ally Ehrman","When Eisav's Cry Is Heard","https://www.yutorah.org/lectures/details?shiurid=722556"
"Rabbi Chaim Brovender","Yitzchak's Wells","https://www.yutorah.org/lectures/details?shiurid=737325"
"Rabbi Ally Ehrman","Pious Or Foolish: A Study Of Esavian Deception","https://www.yutorah.org/lectures/details?shiurid=729160"
"Rabbi Eliezer Lerner","Parshat Toldot - 15 minute weekly sicha","https://www.yutorah.org/lectures/details?shiurid=781034"
"Rabbi Hanan Balk","The Greatness of Yitzchak","https://www.yutorah.org/lectures/details?shiurid=729215"
"Rabbi Avishai David","Shiur on Parshat Toldot","https://www.yutorah.org/lectures/details?shiurid=729249"
"Rabbi Avishai David","Ramban on Parshat Toldot","https://www.yutorah.org/lectures/details?shiurid=729265"
"Rabbi Meir Goldwicht","Parshat Toldot","https://www.yutorah.org/lectures/details?shiurid=729297"
"Rabbi Andi Yudin","Mussar Shmooze on Parshat Toldot","https://www.yutorah.org/lectures/details?shiurid=729398"
"Rabbi Shalom Rosner","Toldot","https://www.yutorah.org/lectures/details?shiurid=729267"
"Rabbi Baruch Simon","Toldos 5769 - ""Chafiras HaBe'eros"": Unearthing Our Essence","https://www.yutorah.org/lectures/details?shiurid=729271"
"Rabbi Hanoch Teller","Parsha Journeys: Parshat Toldot","https://www.yutorah.org/lectures/details?shiurid=729277"
"Rabbi Shmuel Marcus","Yitzchak's Pachad","https://www.yutorah.org/lectures/details?shiurid=729287"
"Rabbi Daniel Hartstein","What a Jew Smells Like","https://www.yutorah.org/lectures/details?shiurid=729599"
"Rabbi Chaim Eisenstein","Parshat Toldot - davening for rain","https://www.yutorah.org/lectures/details?shiurid=729340"
"Rabbi Binyamin Kwalwasser","Living in the Dark","https://www.yutorah.org/lectures/details?shiurid=775480"
"Rabbi Yehoshua Grunstein","# 9- Don't rely just on the Precedent [Parshat Toldot]","https://www.yutorah.org/lectures/details?shiurid=729393"
"Rabbi Ally Ehrman","Knowing What Is Important","https://www.yutorah.org/lectures/details?shiurid=729539"
"Rabbi Pinny Rosenthal","Discussions on Parshat Toldot PART 2","https://www.yutorah.org/lectures/details?shiurid=729657"
"Rabbi Pinny Rosenthal","Discussion on Parshas Toldot Part 1","https://www.yutorah.org/lectures/details?shiurid=729659"
"Rabbi Ally Ehrman","The World Of Falsehood - What It Is And How To Overcome It","https://www.yutorah.org/lectures/details?shiurid=737984"
"Rabbi David Berger","Jacob/Israel, Esau/Edom, and the True Israel in the Jewish-Christian Debate","https://www.yutorah.org/lectures/details?shiurid=738564"
"Dr. Nechama Price","Family Dynamic: Was Yitzchak Following in his Father's Footsteps?","https://www.yutorah.org/lectures/details?shiurid=746089"
"Rabbi Yehoshua Grunstein","Toldot-Don't live in the past!!","https://www.yutorah.org/lectures/details?shiurid=739042"
"Rabbi Aryeh Hendler","The Theft of the Blessings as a Background to an Educational Dispute","https://www.yutorah.org/lectures/details?shiurid=739052"
"Rabbi Jesse Horn","Avraham, Yishmael and Yitzhak - Parshas Toldos","https://www.yutorah.org/lectures/details?shiurid=739063"
"Rabbi Avishai David","The Struggle Between Yaakov and Eisav","https://www.yutorah.org/lectures/details?shiurid=739239"
"Rabbi Steven Weil","Yitzchak's Bracha To Yaakov","https://www.yutorah.org/lectures/details?shiurid=775559"
"Rabbi Moshe Weinberger","Real Prayer Transforms The Person","https://www.yutorah.org/lectures/details?shiurid=826258"
"Rabbi Ezra Schwartz","Permission to Deceive: Halachot of Lying","https://www.yutorah.org/lectures/details?shiurid=739377"
"Rabbi Shalom Hammer","Toldot: Strength of Conviction","https://www.yutorah.org/lectures/details?shiurid=739140"
"Rabbi Reuven Spolter","Parshat Toldot - Raising Different Children","https://www.yutorah.org/lectures/details?shiurid=739143"
"Rabbi Meir Lipschitz","The Sale of the Birthright","https://www.yutorah.org/lectures/details?shiurid=740825"
